Our Coref ID	Text Source	Knowtator Coref ID	Annotator ID	Annotator Name	Annotator Comment	Coref Type	Knowtator Target ID	Target Span Start	Target Span End	Target Spanned Text	Knowtator Calling-out ID	Calling-out Span Start	Calling-out Span End	Calling-out Spanned Text
	android100.txt	opposition_Instance_70266	opposition_Instance_20000	A2	"It was difficult to choose between the back button or the general notion of navigation as the target.  I chose the backk button as target becuase ""back button"" was repeated in the calling out."	Type_1	opposition_Instance_70265	3561	3584	that back button is key	opposition_Instance_70264	3717	3881	"Yeah, absolutely. Coming from iPhone it's a bit strange but after a few days you get the  hang of how it (the back button) works and suddenly everything is awesome."
	android100.txt	opposition_Instance_70271	opposition_Instance_20000	A2	"I determined that the second sentence (""navigation is better.."") could be seen either as a separate point or as the stance of the calling out."	Type_1	opposition_Instance_70270	1583	1610	the dedicated `Back' button	opposition_Instance_70263	3561	3636	that back button is key. navigation is actually much easier on the android.
	android100.txt	opposition_Instance_70279	opposition_Instance_20000	A2		Type_1	opposition_Instance_70282	3980	4038	when we first tried the iPhone it felt natural immediately	opposition_Instance_70275	4531	4605	That's absolutely not true.  It took me a while to get used to the iPhone.
	android100.txt	opposition_Instance_70286	opposition_Instance_20000	A2		Type_1	opposition_Instance_70277	3777	3845	"after a few days you get the  hang of how it (the back button) works"	opposition_Instance_70284	3976	4181	"But when we first tried the iPhone it felt natural immediately, we didn't have to  `unlearn' old habits from our antiquated Nokias &amp; Blackberrys.  That happened because the iPhone is  a truly great design."
	android100.txt	opposition_Instance_70292	opposition_Instance_20000	A2		Type_1	opposition_Instance_70282	3980	4038	when we first tried the iPhone it felt natural immediately	opposition_Instance_70294	6198	6353	"I disagree that the iPhone just felt natural immediately... In my opinion it  feels restrictive and over simplified, sometimes to the point of frustration."
	android100.txt	opposition_Instance_70297	opposition_Instance_20000	A2		Type_1	opposition_Instance_70289	4560	4605	It took me a while to get used to the iPhone.	opposition_Instance_70291	5363	5666	"I’m going to agree that my experience required a bit of getting used to… I had  arrived to the newly minted 2G from a SE P910 but was testing a BlackBerry for development purposes  for a few months. There was a period where I just did not like the iPhone and it had a lot to do  with GMail and browsing."
	android100.txt	opposition_Instance_70301	opposition_Instance_20000	A2		Type_1	opposition_Instance_70300	44660	44721	no, you didn't just pick up the iPhone and know how to use it	opposition_Instance_70303	44850	44993	"You pick it up, and you know how to use it. Over time you adapt to preferences.  It was simply the first phone a toddler could pick up and use."
	android100.txt	opposition_Instance_70307	opposition_Instance_20000	A2	This calling out refers to a review linked to in an earlier comment: http://www.boygeniusreport.com/2010/01/09/google-android-personal-thoughts.	Type_3					opposition_Instance_70306	39554	39926	"i've stopped my reader subscription to that site as a result of that post.  aside from  being extraordinarily comical, it only highlights exactly what this techcrunch article is talking  about.  people are SO used to their iphone, in a creepy way for some (like BGR), and as a result  they can't truly appreciate the different environment of the new device in their hands."
	android100.txt	opposition_Instance_70316	opposition_Instance_20000	A2		Type_1	opposition_Instance_70313	38717	38827	"reading some of the Nexus One reviews I've noticed a negative tone, partly related to  the massive hype it got"	opposition_Instance_70315	40058	40415	"About 40 million iPhones have been sold so far, and maybe another 25 million iPod touch's.   This platform has the highest satisfaction rate of any tech device I've ever heard of.  The Nexus  One has been out for 5 days.  How is then that there are so many experts here on the new phone, and  so few advocates of the iPhone?  Is this perhaps a biased crowd?"
	android100.txt	opposition_Instance_70317	opposition_Instance_20000	A2	The URL links to a review comparing the Nexus One negatively to iPhone	Type_1	opposition_Instance_70321	38892	38931	"some people  are mad it's not an iPhone"	opposition_Instance_70319	39159	39290	"Especially true when you read garbage like this &lt;URL/&gt;  http://www.boygeniusreport.com/2010/01/09/google-android-personal-thoughts."
